Brand,Topic Title (Thai | EN),Content Type,Primary Keyword,Long-tail Keywords,Search Intent,Buyer Persona,Category,Seasonality,Demand Signal,Thai Keyword,AEO Value,Priority Score,Priority,Production Status,Article File,Notes
wine-now,ขนาดขวดไวน์: แต่ละขนาดเหมาะกับโอกาสไหน | Wine Bottle Sizes Explained: Which Bottle for What Occasion,Blog,wine bottle sizes,"wine bottle sizes, magnum bottle, wine bottle guide, bottle sizes meaning",Informational,Explorer,Tips & Guides,Evergreen,Medium,ขนาดขวดไวน์,Low,40,P3,Not started,,Reference guide
wine-now,ซื้อไวน์จำนวนมาก: ซื้ออย่างไรให้คุ้มค่าสำหรับคนดื่มประจำ | Bulk Wine: Buying Smart for Regular Drinkers,Blog,bulk wine purchase,"wholesale wine, wine bulk buying, discount wine, wine in bulk",Commercial,Explorer,Tips & Guides,Evergreen,Low,ซื้อไวน์จำนวนมาก,Low,40,P3,Not started,,Shopping guide
wine-now,ปริมาณแอลกอฮอล์ในไวน์: สิ่งที่คุณต้องรู้ | Wine Alcohol Content: What You Need to Know,Blog,wine alcohol content,"alcohol percentage in wine, ABV wine, wine strength, alcohol level",Informational,Explorer,Education,Evergreen,Medium,ปริมาณแอลกอฮอล์,Low,40,P3,Not started,,Educational content
wine-now,ศิลปะบนฉลากไวน์: เทรนด์งานออกแบบที่นักสะสมตามหา | Wine Label Art: The Design Trends Collectors Actually Buy,Blog,wine label design,"wine label design, wine packaging, wine bottle design, wine aesthetics",Informational,Enthusiast,Spotlights,Evergreen,Medium,ออกแบบป้ายไวน์,Low,40,P3,Not started,,Lifestyle content
wine-now,สารก่อภูมิแพ้ในไวน์: สิ่งที่ต้องรู้ก่อนซื้อ | Wine Allergens: What You Need to Know Before You Buy,Blog,wine allergens,"wine allergies, sulfites in wine, wine allergens, wine intolerances",Informational,Explorer,Tips & Guides,Evergreen,Medium,สารก่อภูมิแพ้ในไวน์,Low,40,P3,Not started,,Health guide
wine-now,อุณหภูมิเสิร์ฟไวน์: เย็นแค่ไหนถึงจะดีที่สุด | Serving Temperature: Does Cold Always Mean Fresh,Blog,wine serving temperature,"wine serving temperature, how cold should wine be, red wine serving temperature, white wine serving temperature",Informational,Explorer,Tips & Guides,Evergreen,Medium,อุณหภูมิการรับประทาน,Low,40,P3,Not started,,Practical guide
wine-now,แก้วไวน์: คุณต้องการแค่ 2 แบบนี้เท่านั้น | The Glassware Truth: You Only Need Two Wine Glasses,Blog,wine glasses,"wine glass types, wine glass guide, stemware guide, wine glass shapes",Informational,Explorer,Tips & Guides,Evergreen,Medium,แกลสแวร์,Low,40,P3,Not started,,Practical guide
wine-now,ไวน์ราคาแพง: อะไรที่ทำให้มันคุ้มค่าราคานั้น | Premium Wine Pricing: What Justifies the Price Tag,Blog,expensive wine,"luxury wine, premium wine, high price wine, wine investment",Informational,Collector,Education,Evergreen,Medium,ไวน์ราคาแพง,Low,40,P3,Not started,,Luxury content
wine-now,ไวน์เสริมแอลกอฮอล์: เกินกว่าแค่ Port และ Sherry | Fortified Wine: Beyond Port and Sherry,Blog,fortified wine,"fortified wine, port wine, sherry wine, dessert wine, sweet wine",Informational,Enthusiast,Education,Evergreen,Medium,ไวน์เสริมแรง,Low,40,P3,Not started,,Educational content
wine-now,ไวน์เสีย: วิธีรู้ว่าเสียก่อนจะดื่ม | Wine Gone Bad: How to Tell Before You Drink,Blog,spoiled wine,"bad wine, wine defects, corked wine, undrinkable wine, wine damage",Informational,Explorer,Tips & Guides,Evergreen,Medium,ไวน์ที่เสีย,Low,40,P3,Not started,,Practical guide
liq9,Campbeltown Whisky: Historical Revival,Blog,campbeltown scotch whisky revival,campbeltown distilleries springbank,Informational,Enthusiast,Education,Evergreen,Low,วิสกี้ Campbeltown,Low,30,P3,Not started,,Small region historical content AEO note: Niche whisky history interest
liq9,Spirits Regulations: Thailand's Rules | กฎหมายเหล้า ไทย,Blog,spirits import regulations thailand,thai alcohol laws regulations,Informational,Enthusiast,Education,Evergreen,Low,กฎหมายเหล้า,Low,30,P3,Not started,,Thailand spirits regulations AEO note: Business/legal compliance interest
wine-now,จุกคอร์ก vs ฝาเกลียว: แบบไหนดีกว่ากัน | Wine Cork vs Screw Cap: Which Is Better,Blog,wine closures,"cork vs screw cap, wine closure types, cork quality, wine sealing",Informational,Explorer,Education,Evergreen,Low,ไวน์ปิดกั้น,Low,30,P3,Not started,,Educational content
wine-now,บริจาคไวน์: ทำอะไรกับขวดเก่าที่ไม่ต้องการแล้ว | Wine Donation: Where to Give Your Old Bottles,Blog,wine donation,"donate wine, wine charity, wine recycling, wine disposal",Informational,Collector,Tips & Guides,Evergreen,Low,บริจาคไวน์,Low,30,P3,Not started,,Niche guide
wine-now,ปลูกองุ่นที่บ้าน: สิ่งที่ต้องคิดก่อนเริ่มต้น | Growing Wine at Home: Before You Plant That Vineyard,Blog,home wine growing,"homemade wine, wine grapes, growing grapes, home vineyard",Informational,Collector,Tips & Guides,Evergreen,Low,ปลูกไวน์ที่บ้าน,Low,30,P3,Not started,,Niche guide
wine-now,เปิดขวดไวน์อย่างถูกต้อง: มีและไม่มี Corkscrew | Opening Wine: The Correct Way With and Without a Corkscrew,Blog,how to open wine,"open wine bottle, corkscrew alternatives, wine opener, cork removal",Informational,Explorer,Tips & Guides,Evergreen,Low,การเปิดไวน์,Low,30,P3,Not started,,Practical guide
wine-now,ไวน์ Oxidize: ทำไมถึงเกิด และป้องกันอย่างไร | Wine Oxidation: Why Bottles Sometimes Go Bad,Blog,wine oxidation,"oxidized wine, wine spoilage, corked wine, wine defects",Informational,Enthusiast,Tips & Guides,Evergreen,Low,ไวน์ออกซิเดชัน,Low,30,P3,Not started,,Technical guide
